COR CODEX — Super Matrix (27 Systems),,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCE_SYSTEM,ENTRY,ALCHEMY,ARCHETYPES,COLORS,CRYSTALS,DEITIES,ELEMENTS,FREQUENCY,GEOMANCY,GEOMETRY,I_CHING,KABBALAH,LETTERS_HEBREW,LETTERS_LATIN,MAJOR_ARCANA,MAYAN,METALS,MINOR_ARCANA,NOTES,NUMBERS,PHYSIOLOGY,PLANETS,PLANTS,PLATONIC_SOLIDS,VICES,VIRTUES,ZODIAC,CHAKRAS
PHYSIOLOGY,Lungs,Distillation; Separation; Sublimation; Fermentation; Rubedo; Conjunction,The Sage; The Trickster; The Priest; The Explorer; The King; The Father,Grey; Yellow; Blue; Orange,FLUORITE; CLEAR-QUARTZ; AGATE; LABRADORITE,Hermes [Greek]; Thoth [Egyptian]; Aphrodite [Greek]; Demeter [Greek]; Kuan Yin [Other],Air; Aether; Fire,141.27 Hz — Mercury; 741 Hz — Awakening; 207.36 Hz — Uranus; 963 Hz — Crown; 126.22 Hz — Sun; 183.58 Hz — Jupiter,Albus — The White One; Conjunctio — Union; Fortuna Major — Greater Fortune; Acquisitio — Gain; Caput Draconis — Dragon’s Head; Fortuna Minor — Lesser Fortune,Line; Octagon; Circle; Point; Flower of Life; Triangle,57 — The Gentle (Xun); 04 — Youthful Folly (Meng); 01 — Creative (Qian); 14 — Possession (Da You); 02 — receptive (Kun); 23 — Splitting Apart (Bo),Hod (Glory); Tiferet (Beauty); Chokmah (Wisdom),Aleph; Heh; Shin; Bet; Gimel; Lamed,A; H; P; S; G; T,I — The Magician; IX — The Hermit; V — The Hierophant; XVII — The Star; XIX — The Sun; 0 — The Fool,Ik; Chuen; Eb; Ahau; Caban; Men,Mercury; Aluminum; Gold; Lead; Tin; Copper,Ace of Swords; Page of Swords; Eight of Wands; Ace of Wands; Ace of Pentacles; Queen of Cups,C♯; C; F♯; D; B; F,3; 1; 11; 10; 8; 2,Lungs,☿ Mercury; ♅ Uranus; ☉ Sun; ♃ Jupiter,Mint; Lavender; Dill; Eucalyptus; Oak; Bay Laurel,Octahedron; Dodecahedron; Hexahedron; Tetrahedron; Star Tetrahedron (Merkaba); Icosahedron,"Aimlessness (False starts, Disarray); Delusion (Illusion, Confusion); Pride (Arrogance, Hubris, Vanity); Chaos (Disorder, Disarray); Frivolity (False optimism, Sentimentality); Domination (Harshness)","Clarity (Illumination, Healing, Vision); Insight (Awareness, Light in darkness); Freedom (Aspiration, Release); Joy (Celebration, Radiance); Harmony (Alignment, Balance, Trust); Initiation (New life, Threshold)",♊ Gemini; ♍ Virgo; ♒ Aquarius; ♎ Libra,SOLAR-PLEXUS-MANIPURA; HEART-ANAHATA; THROAT-VISHUDDHA
PHYSIOLOGY,Lymphatic system,Dissolution; Fermentation; Sublimation; Conjunction; Rubedo; Distillation,The Healer; The Mother; The Mystic; The Priest; The Lover; The Father,Blue; White; Silver; Indigo,AMETHYST; AQUAMARINE; MOONSTONE; CLEAR-QUARTZ,Yemaya [Other]; Artemis [Greek]; Selene [Greek]; Kuan Yin [Other]; Isis [Egyptian],Water; Air; Aether,432 Hz — Harmony; 210.42 Hz — Moon; 528 Hz — Miracles; 285 Hz — Transformation; 211.44 Hz — Neptune; 126.22 Hz — Sun,Via — The Path; Populus — The People; Conjunctio — Union; Laetitia — Joy; Albus — The White One; Fortuna Major — Greater Fortune,Vesica Piscis; Circle; Sphere; Flower of Life; Point; Line,29 — Abyss (Kan); 02 — receptive (Kun); 48 — The Well (Jing); 27 — Nourishment (Yi); 59 — Dispersion (Huan); 01 — Creative (Qian),Yesod (Foundation); Tiferet (Beauty); Kether (Crown),Gimel; Heh; Mem; Vav; Aleph; Nun,C; A; D; H; G; M,XVII — The Star; XIV — Temperance; XVIII — The Moon; 0 — The Fool; XII — The Hanged Man; XIX — The Sun,Muluk; Ahau; Cauac; Men; Caban; Akbal,Silver; Platinum; Gold; Mercury; Aluminum; Tin,Ace of Cups; Queen of Cups; Page of Cups; Ace of Pentacles; Seven of Cups; Six of Wands,G♯; A; E; C; D; F♯,6; 2; 1; 12; 10; 8,Lymphatic system,☽ Moon; ☉ Sun; ♆ Neptune; ☿ Mercury,Water Lily; Lotus; Blue Lotus; Angelica; Calendula; Chamomile,Icosahedron; Dodecahedron; Tetrahedron; Hexahedron; Octahedron; Star Tetrahedron (Merkaba),"Delusion (Illusion, Confusion); Self-sacrifice (The shadow of service/martyrdom); Frivolity (False optimism, Sentimentality); Chaos (Disorder, Disarray); Pride (Arrogance, Hubris, Vanity); Dependence (Naïveté, Blind belief, Over-conformity)","Devotion (Loyalty, Mercy, Compassion, Empathy); Harmony (Alignment, Balance, Trust); Insight (Awareness, Light in darkness); Clarity (Illumination, Healing, Vision); Renewal (Transformation, Resurrection); Joy (Celebration, Radiance)",♓ Pisces; ♋ Cancer; ♍ Virgo; ♒ Aquarius,AJNA-THIRD-EYE; CROWN-SAHASRARA
PHYSIOLOGY,Mouth,Distillation; Fermentation; Separation; Coagulation,The Priest; The Sage; The Trickster; The Father; The Explorer; The Creator,White; Gold; Yellow; Orange,SAPPHIRE; CITRINE; AGATE; CLEAR-QUARTZ,Thoth [Egyptian]; Hermes [Greek]; Hermes Trismegistus [Other]; Apollo [Greek]; Loki [Norse],Air; Aether; Fire,741 Hz — Awakening; 141.27 Hz — Mercury; 528 Hz — Miracles; 13–30 Hz — Beta (Active Thinking); 852 Hz — Intuition; 174 Hz — Foundation,Albus — The White One; Conjunctio — Union; Puer — The Youth; Fortuna Major — Greater Fortune; Caput Draconis — Dragon’s Head; Acquisitio — Gain,Line; Triangle; Pentagram; Square; Hexagram; Hexagon,20 — Contemplation (Guan); 04 — Youthful Folly (Meng); 57 — The Gentle (Xun); 26 — Great Taming (Da Chu); 44 — Coming to Meet (Gou); 48 — The Well (Jing),Tiferet (Beauty); Hod (Glory); Chesed (Mercy),Bet; Vav; Heh; Daleth; Lamed; Zayin,B; V; H; P; T; G,V — The Hierophant; I — The Magician; 0 — The Fool; VI — The Lovers; IX — The Hermit; III — The Empress,Men; Chuen; Caban; Ik; Eb; Kan,Mercury; Tin; Copper; Lead; Silver; Gold,Page of Swords; Seven of Swords; Six of Pentacles; King of Pentacles; Knight of Wands; Eight of Swords,F♯; C♯; B; G; F; A,5; 1; 11; 3; 6; 2,Mouth,☿ Mercury; ☉ Sun; ♃ Jupiter; ♄ Saturn,Frankincense; Dill; Mint; Sage; Lavender; Mullein,Octahedron; Dodecahedron; Hexahedron; Tetrahedron; Icosahedron; Star Tetrahedron (Merkaba),"Dogmatism (Fanaticism); Frivolity (False optimism, Sentimentality); Pride (Arrogance, Hubris, Vanity); Chaos (Disorder, Disarray); Dependence (Naïveté, Blind belief, Over-conformity); Aimlessness (False starts, Disarray)","Clarity (Illumination, Healing, Vision); Energy (Intensity, Creativity, Imagination); Initiation (New life, Threshold); Insight (Awareness, Light in darkness); Freedom (Aspiration, Release); Preservation (Survival, Resource awareness)",♉ Taurus; ♊ Gemini; ♍ Virgo; ♐ Sagittarius,ROOT-MULADHARA; SOLAR-PLEXUS-MANIPURA; THROAT-VISHUDDHA
PHYSIOLOGY,Muscles,Calcination; Rubedo; Fermentation; Sublimation; Putrefactio; Citrinitas,The Warrior; The Hero; The Destroyer; The King; The Father; The Creator,Red; Gold; Crimson; Blue,CARNELIAN; BLOODSTONE; CITRINE; RED-JASPER,Agni [Hindu]; Apollo [Greek]; Ares [Greek]; Sekhmet [Other]; Sekhmet [Egyptian],Fire; Aether; Earth,144.72 Hz — Mars; 396 Hz — Liberation; 528 Hz — Miracles; 126.22 Hz — Sun; 183.58 Hz — Jupiter; 963 Hz — Crown,Puer — The Youth; Rubeus — The Red One; Fortuna Major — Greater Fortune; Acquisitio — Gain; Carcer — The Prison; Laetitia — Joy,Triangle; Pentagram; Circle; Point; Dodecagon; Line,07 — Army (Shi); 01 — Creative (Qian); 14 — Possession (Da You); 30 — Clinging (Li); 51 — Aroused (Zhen); 23 — Splitting Apart (Bo),Geburah (Severity); Tiferet (Beauty); Kether (Crown),Shin; Heh; Kaph; Peh; Aleph; Cheth,S; K; A; C; T; H,XVI — The Tower; VII — The Chariot; XIX — The Sun; X — Wheel of Fortune; 0 — The Fool; IV — The Emperor,Chicchan; Etznab; Ahau; Caban; Men; Cimi,Iron; Gold; Lead; Tin; Aluminum; Copper,Ace of Wands; Five of Wands; Ace of Cups; Eight of Wands; Knight of Wands; Seven of Cups,D; C; F♯; F; A♯; C♯,5; 1; 10; 8; 11; 3,Muscles,♂ Mars; ☉ Sun; ♃ Jupiter; ♅ Uranus,Nettle; Bay Laurel; Oak; Mustard Seed; Chili; Frankincense,Tetrahedron; Dodecahedron; Hexahedron; Octahedron; Star Tetrahedron (Merkaba); Icosahedron,"Violence (Aggression, Destruction, Abuse); Domination (Harshness); Pride (Arrogance, Hubris, Vanity); Chaos (Disorder, Disarray); Obsession (Attachment); Paralysis (Fear, Indecision)","Will (Drive, Resolve, Bravery); Energy (Intensity, Creativity, Imagination); Joy (Celebration, Radiance); Confidence (Strength, Mastery); Sovereignty (Authority, Nobility, Justice); Initiation (New life, Threshold)",♈ Aries; ♏ Scorpio; ♌ Leo; ♐ Sagittarius,SOLAR-PLEXUS-MANIPURA
PHYSIOLOGY,Muscular system,Calcination; Fermentation; Rubedo; Coagulation; Separation; Distillation,The Hero; The Warrior; The Creator; The Explorer; The King; The Destroyer,Red; Gold; Orange; Crimson,CARNELIAN; CITRINE; SUNSTONE; BLOODSTONE,Ares [Greek]; Apollo [Greek]; Zeus [Greek]; Sekhmet [Egyptian]; Michael [Angelic],Fire; Air; Earth,126.22 Hz — Sun; 528 Hz — Miracles; 144.72 Hz — Mars; 396 Hz — Liberation; 174 Hz — Foundation; 417 Hz — Facilitation,Puer — The Youth; Fortuna Major — Greater Fortune; Fortuna Minor — Lesser Fortune; Conjunctio — Union; Carcer — The Prison; Rubeus — The Red One,Triangle; Line; Point; Pentagram; Square; Circle,01 — Creative (Qian); 07 — Army (Shi); 02 — receptive (Kun); 04 — Youthful Folly (Meng); 40 — Liberation (Jie); 34 — Great Power (Da Zhuang),Geburah (Severity); Tiferet (Beauty); Yesod (Foundation),Bet; Vav; Peh; Teth; Daleth; Aleph,B; C; H; M; A; N,XIX — The Sun; VII — The Chariot; XVI — The Tower; 0 — The Fool; V — The Hierophant; VIII — Strength,Chicchan; Caban; Etznab; Ahau; Eb; Kan,Iron; Gold; Silver; Mercury; Lead; Copper,Knight of Wands; Five of Wands; Ten of Wands; Six of Wands; Eight of Wands; Four of Wands,D; B; F; G♯; F♯; D♯,5; 8; 4; 7; 3; 2,Muscular system,♂ Mars; ☉ Sun; ♃ Jupiter; ☽ Moon,Ginger; Bay Laurel; Cinnamon; Cayenne; Chili; Oak,Tetrahedron; Hexahedron; Octahedron; Icosahedron; Star Tetrahedron (Merkaba); Dodecahedron,"Violence (Aggression, Destruction, Abuse); Pride (Arrogance, Hubris, Vanity); Paralysis (Fear, Indecision); Domination (Harshness); Aimlessness (False starts, Disarray); Frivolity (False optimism, Sentimentality)","Will (Drive, Resolve, Bravery); Energy (Intensity, Creativity, Imagination); Freedom (Aspiration, Release); Confidence (Strength, Mastery); Harmony (Alignment, Balance, Trust); Initiation (New life, Threshold)",♈ Aries; ♌ Leo; ♐ Sagittarius; ♏ Scorpio,SOLAR-PLEXUS-MANIPURA
PHYSIOLOGY,Neck,Fermentation; Separation; Distillation; Coagulation; Conjunction; Mortificatio,The Father; The King; The Trickster; The Explorer; The Sage; The Healer,Yellow; Blue; Orange; Grey,AGATE; AMETHYST; CITRINE; SERPENTINE,Hermes [Greek]; Thoth [Egyptian]; Raphael [Angelic]; Iris [Other]; Loki [Norse],Aether; Air; Earth,221.23 Hz — Venus; 141.27 Hz — Mercury; 13–30 Hz — Beta (Active Thinking); 639 Hz — Harmony/Connection; 528 Hz — Miracles; 174 Hz — Foundation,Acquisitio — Gain; Albus — The White One; Conjunctio — Union; Puer — The Youth; Puella — The Maiden; Carcer — The Prison,Hexagon; Circle; Line; Triangle; Vesica Piscis; Pentagram,57 — The Gentle (Xun); 56 — The Wanderer (Lv); 04 — Youthful Folly (Meng); 44 — Coming to Meet (Gou); 15 — Modesty (Qian); 48 — The Well (Jing),Hod (Glory); Malkuth (Kingdom); Netzach (Victory),Bet; Zayin; Yod; Daleth; Vav; Tav,B; G; T; V; H; N,XIV — Temperance; I — The Magician; VI — The Lovers; 0 — The Fool; IX — The Hermit; III — The Empress,Chuen; Ik; Eb; Caban; Kan; Lamat,Lead; Mercury; Copper; Silver; Tin,Six of Pentacles; Page of Swords; Knight of Swords; Eight of Swords; Nine of Swords; Ten of Swords,C♯; B; F; A; F♯; G♯,7; 3; 5; 6; 2; 10,Neck,☿ Mercury; ♀ Venus; ♄ Saturn; ☉ Sun,Oak; Lavender; Dill; Mint; Lemon Verbena; Artemisia,Octahedron; Hexahedron; Icosahedron; Dodecahedron,"Dogmatism (Fanaticism); Aimlessness (False starts, Disarray); Frivolity (False optimism, Sentimentality); Delusion (Illusion, Confusion); Chaos (Disorder, Disarray); Dependence (Naïveté, Blind belief, Over-conformity)","Sovereignty (Authority, Nobility, Justice); Clarity (Illumination, Healing, Vision); Insight (Awareness, Light in darkness); Freedom (Aspiration, Release); Energy (Intensity, Creativity, Imagination); Preservation (Survival, Resource awareness)",♓ Pisces; ♊ Gemini; ♍ Virgo; ♉ Taurus,ROOT-MULADHARA; SACRAL-SVADHISTHANA; SOLAR-PLEXUS-MANIPURA
PHYSIOLOGY,Nervous system,Distillation; Separation; Sublimation; Fermentation; Rubedo; Conjunction,The Sage; The Trickster; The Priest; The Explorer; The Father; The King,Grey; Blue; Yellow; Orange,FLUORITE; CLEAR-QUARTZ; AGATE; LABRADORITE,Hermes [Greek]; Thoth [Egyptian]; Ouranos [Other]; Demeter [Greek]; Aphrodite [Greek],Air; Aether; Fire,141.27 Hz — Mercury; 741 Hz — Awakening; 207.36 Hz — Uranus; 963 Hz — Crown; 126.22 Hz — Sun; 183.58 Hz — Jupiter,Albus — The White One; Conjunctio — Union; Fortuna Major — Greater Fortune; Carcer — The Prison; Acquisitio — Gain; Fortuna Minor — Lesser Fortune,Line; Octagon; Point; Circle; Hexagram; Triangle,57 — The Gentle (Xun); 04 — Youthful Folly (Meng); 01 — Creative (Qian); 14 — Possession (Da You); 02 — receptive (Kun); 23 — Splitting Apart (Bo),Hod (Glory); Tiferet (Beauty); Chokmah (Wisdom),Aleph; Bet; Heh; Shin; Yod; Gimel,A; H; C; P; S; M,I — The Magician; IX — The Hermit; V — The Hierophant; XVII — The Star; 0 — The Fool; XIX — The Sun,Ik; Chuen; Eb; Ahau; Caban; Etznab,Mercury; Aluminum; Lead; Gold; Copper; Tin,Ace of Swords; Page of Swords; Eight of Wands; Ace of Wands; Queen of Cups; Five of Wands,C♯; F♯; C; D; B; F,3; 1; 11; 10; 8; 2,Nervous system,☿ Mercury; ♅ Uranus; ♄ Saturn; ☉ Sun,Lavender; Mint; Dill; Eucalyptus; Oak; Frankincense,Octahedron; Dodecahedron; Hexahedron; Tetrahedron; Star Tetrahedron (Merkaba); Icosahedron,"Aimlessness (False starts, Disarray); Delusion (Illusion, Confusion); Chaos (Disorder, Disarray); Frivolity (False optimism, Sentimentality); Pride (Arrogance, Hubris, Vanity); Dogmatism (Fanaticism)","Clarity (Illumination, Healing, Vision); Insight (Awareness, Light in darkness); Freedom (Aspiration, Release); Initiation (New life, Threshold); Joy (Celebration, Radiance); Energy (Intensity, Creativity, Imagination)",♊ Gemini; ♍ Virgo; ♒ Aquarius; ♎ Libra,SOLAR-PLEXUS-MANIPURA; THROAT-VISHUDDHA; AJNA-THIRD-EYE
PHYSIOLOGY,Pancreas,Coagulation; Fermentation; Conjunction; Distillation; Separation,The Mother; The Lover; The Father; The King; The Creator; The Trickster,Green; Emerald; Gold; Blue,JADE; EMERALD; CITRINE; ROSE-QUARTZ,Demeter [Greek]; Aphrodite [Greek]; Lakshmi [Hindu]; Hermes [Greek]; Thoth [Egyptian],Earth; Water; Air,639 Hz — Harmony/Connection; 221.23 Hz — Venus; 174 Hz — Foundation; 432 Hz — Harmony; 141.27 Hz — Mercury; 528 Hz — Miracles,Acquisitio — Gain; Conjunctio — Union; Puella — The Maiden; Puer — The Youth; Carcer — The Prison; Laetitia — Joy,Hexagon; Pentagon; Line; Triangle; Vesica Piscis; Pentagram,27 — Nourishment (Yi); 02 — receptive (Kun); 04 — Youthful Folly (Meng); 48 — The Well (Jing); 42 — Increase (Yi); 31 — Influence (Xian),Netzach (Victory); Malkuth (Kingdom); Yesod (Foundation),Bet; Daleth; Zayin; Vav; Aleph; Samekh,B; A; D; G; T; V,III — The Empress; VI — The Lovers; X — Wheel of Fortune; I — The Magician; 0 — The Fool; XIV — Temperance,Kan; Lamat; Chuen; Ik; Caban; Manik,Copper; Mercury; Silver; Gold; Lead; Tin,Nine of Pentacles; Ten of Pentacles; Eight of Pentacles; Ace of Pentacles; Queen of Pentacles; Six of Pentacles,F; A; C♯; B; F♯; C,3; 6; 7; 2; 5; 10,Pancreas,♀ Venus; ☉ Sun; ☿ Mercury; ♄ Saturn,Apple; Grain; Apple Blossom; Oak; Wheat; Sage,Hexahedron; Dodecahedron; Octahedron; Icosahedron; Tetrahedron; Star Tetrahedron (Merkaba),"Avarice (Hoarding, Overproduction); Aimlessness (False starts, Disarray); Frivolity (False optimism, Sentimentality); Dependence (Naïveté, Blind belief, Over-conformity); Repetition (Stagnation, Inertia); Pride (Arrogance, Hubris, Vanity)","Preservation (Survival, Resource awareness); Fertility (Abundance); Beauty (Grace, Magnetism, Delight); Clarity (Illumination, Healing, Vision); Insight (Awareness, Light in darkness); Harmony (Alignment, Balance, Trust)",♍ Virgo; ♉ Taurus; ♓ Pisces; ♐ Sagittarius,SACRAL-SVADHISTHANA; SOLAR-PLEXUS-MANIPURA; HEART-ANAHATA
PHYSIOLOGY,Pineal,Dissolution; Sublimation; Fermentation; Rubedo; Calcination; Distillation,The Mystic; The Creator; The Mother; The Father; The King; The Healer,White; Indigo; Violet; Silver,AMETHYST; MOONSTONE; CLEAR-QUARTZ; SELENITE,Selene [Greek]; Hecate [Other]; Nyx [Greek]; Metatron [Angelic]; Zeus [Greek],Aether; Water; Air,"210.42 Hz — Moon; 4–8 Hz — Theta (Meditation, Dreams); 963 Hz — Crown; 183.58 Hz — Jupiter; 211.44 Hz — Neptune; 126.22 Hz — Sun",Via — The Path; Populus — The People; Fortuna Major — Greater Fortune; Caput Draconis — Dragon’s Head; Albus — The White One; Acquisitio — Gain,Circle; Point; Vesica Piscis; Sphere; Flower of Life; Dodecagon,29 — Abyss (Kan); 02 — receptive (Kun); 01 — Creative (Qian); 61 — Inner Truth (Zhong Fu); 14 — Possession (Da You); 23 — Splitting Apart (Bo),Yesod (Foundation); Kether (Crown); Chokmah (Wisdom),Qoph; Aleph; Gimel; Nun; Yod; Shin,A; C; I; N; S; M,XVIII — The Moon; II — The High Priestess; XVII — The Star; 0 — The Fool; X — Wheel of Fortune; XII — The Hanged Man,Muluk; Akbal; Ahau; Caban; Ik; Ix,Silver; Platinum; Gold; Aluminum; Tin; Mercury,Ace of Wands; Ace of Cups; Seven of Cups; Ace of Swords; Nine of Cups; Queen of Cups,G♯; F♯; C; D; C♯; A♯,2; 1; 9; 8; 10; 13,Pineal,☽ Moon; ♆ Neptune; ♃ Jupiter; ♅ Uranus,Mugwort; Lotus; Water Lily; Frankincense; Willow; Blue Lotus,Dodecahedron; Icosahedron; Tetrahedron; Hexahedron; Octahedron; Star Tetrahedron (Merkaba),"Delusion (Illusion, Confusion); Chaos (Disorder, Disarray); Self-sacrifice (The shadow of service/martyrdom); Pride (Arrogance, Hubris, Vanity); Dependence (Naïveté, Blind belief, Over-conformity); Nihilism (Detachment)","Insight (Awareness, Light in darkness); Devotion (Loyalty, Mercy, Compassion, Empathy); Harmony (Alignment, Balance, Trust); Initiation (New life, Threshold); Clarity (Illumination, Healing, Vision); Joy (Celebration, Radiance)",♋ Cancer; ♓ Pisces; ♒ Aquarius; ♐ Sagittarius,AJNA-THIRD-EYE; CROWN-SAHASRARA
PHYSIOLOGY,Pituitary,Sublimation; Dissolution; Citrinitas; Fermentation; Rubedo,The Mystic; The Prophet; The Creator; The Innocent; The Healer; The Mother,Indigo; Violet; White; Silver,AMETHYST; LABRADORITE; MOONSTONE; CLEAR-QUARTZ,Sophia [Angelic]; Hecate [Other]; Kuan Yin [Other]; Metatron [Angelic]; Brahma [Hindu],Aether; Water; Air,"4–8 Hz — Theta (Meditation, Dreams); 963 Hz — Crown; 852 Hz — Intuition; 30–100 Hz — Gamma (Peak Cognition); 741 Hz — Awakening; 285 Hz — Transformation",Via — The Path; Populus — The People; Caput Draconis — Dragon’s Head; Fortuna Major — Greater Fortune; Albus — The White One; Laetitia — Joy,Vesica Piscis; Sphere; Flower of Life; Point; Metatron's Cube; Circle,20 — Contemplation (Guan); 29 — Abyss (Kan); 61 — Inner Truth (Zhong Fu); 01 — Creative (Qian); 02 — receptive (Kun); 64 — Before Completion (Wei Ji),Kether (Crown); Yesod (Foundation); Chokmah (Wisdom),Gimel; Qoph; Aleph; Yod; Nun; Mem,A; M; C; D; G; B,II — The High Priestess; 0 — The Fool; XVII — The Star; XVIII — The Moon; XII — The Hanged Man; XXI — The World,Ix; Akbal; Ahau; Caban; Muluk; Etznab,Platinum; Silver; Aluminum; Gold; Mercury; Lead,Queen of Cups; Ace of Wands; Ace of Cups; Ace of Swords; Four of Cups; Ace of Pentacles,G♯; B; F♯; G; C; F,9; 2; 0; 13; 8; 7,Pituitary,♆ Neptune; ☽ Moon; ♃ Jupiter; ♅ Uranus,Mugwort; Blue Lotus; Lotus; Water Lily; Frankincense; Bay,Dodecahedron; Icosahedron; Star Tetrahedron (Merkaba); Octahedron; Hexahedron; Tetrahedron,"Delusion (Illusion, Confusion); Dependence (Naïveté, Blind belief, Over-conformity); Nihilism (Detachment); Chaos (Disorder, Disarray); Obsession (Attachment); Pride (Arrogance, Hubris, Vanity)","Insight (Awareness, Light in darkness); Devotion (Loyalty, Mercy, Compassion, Empathy); Clarity (Illumination, Healing, Vision); Initiation (New life, Threshold); Union (Synthesis); Harmony (Alignment, Balance, Trust)",♓ Pisces; ♋ Cancer; ♐ Sagittarius; ♒ Aquarius,AJNA-THIRD-EYE; CROWN-SAHASRARA
PHYSIOLOGY,Reproductive system,Conjunction; Fermentation; Sublimation; Rubedo; Dissolution; Coagulation,The Mother; The Lover; The Father; The Queen; The King; The Creator,Copper; Emerald; Pink; Blue,JADE; ROSE-QUARTZ; EMERALD; AMETHYST,Demeter [Greek]; Aphrodite [Greek]; Gaia [Greek]; Artemis [Greek]; Yemaya [Other],Earth; Water; Fire,221.23 Hz — Venus; 639 Hz — Harmony/Connection; 147.85 Hz — Saturn; 432 Hz — Harmony; 210.42 Hz — Moon; 183.58 Hz — Jupiter,Puella — The Maiden; Acquisitio — Gain; Conjunctio — Union; Laetitia — Joy; Carcer — The Prison; Fortuna Major — Greater Fortune,Hexagon; Vesica Piscis; Circle; Square; Cube; Dodecagon,31 — Influence (Xian); 02 — receptive (Kun); 14 — Possession (Da You); 01 — Creative (Qian); 29 — Abyss (Kan); 58 — The Joyful (Dui),Netzach (Victory); Binah (Understanding); Malkuth (Kingdom),Daleth; Gimel; Vav; Bet; Peh; Qoph,L; C; V; A; H; D,III — The Empress; VI — The Lovers; X — Wheel of Fortune; XXI — The World; XIX — The Sun; 0 — The Fool,Lamat; Caban; Kan; Muluk; Ahau; Akbal,Copper; Lead; Silver; Gold; Tin; Aluminum,Ace of Cups; Two of Cups; Queen of Cups; Queen of Pentacles; Five of Pentacles; Ace of Pentacles,A; F; C; G♯; F♯; D,6; 10; 1; 3; 2; 5,Reproductive system,♀ Venus; ♃ Jupiter; ☽ Moon; ♄ Saturn,Rose; Apple; Apple Blossom; Jasmine; Oak; Cedar,Hexahedron; Dodecahedron; Icosahedron; Tetrahedron; Octahedron; Star Tetrahedron (Merkaba),"Lust (Overindulgence, Hunger); Avarice (Hoarding, Overproduction); Obsession (Attachment); Pride (Arrogance, Hubris, Vanity); Repetition (Stagnation, Inertia); Dependence (Naïveté, Blind belief, Over-conformity)","Fertility (Abundance); Beauty (Grace, Magnetism, Delight); Harmony (Alignment, Balance, Trust); Preservation (Survival, Resource awareness); Devotion (Loyalty, Mercy, Compassion, Empathy); Joy (Celebration, Radiance)",♉ Taurus; ♎ Libra; ♍ Virgo; ♐ Sagittarius,ROOT-MULADHARA; SACRAL-SVADHISTHANA; HEART-ANAHATA
PHYSIOLOGY,Respiratory system,Sublimation; Distillation; Fermentation; Rubedo; Separation; Calcination,The Sage; The Trickster; The Explorer; The Creator; The King; The Father,Blue; Grey; White; Yellow,LABRADORITE; FLUORITE; CLEAR-QUARTZ; AQUAMARINE,Hermes [Greek]; Thoth [Egyptian]; Ouranos [Other]; Quetzalcoatl [Aztec/Mayan]; Prometheus [Greek],Air; Aether; Fire,141.27 Hz — Mercury; 741 Hz — Awakening; 207.36 Hz — Uranus; 183.58 Hz — Jupiter; 963 Hz — Crown; 126.22 Hz — Sun,Albus — The White One; Fortuna Minor — Lesser Fortune; Conjunctio — Union; Carcer — The Prison; Fortuna Major — Greater Fortune; Acquisitio — Gain,Line; Hexagram; Octagon; Point; Circle; Triangle,57 — The Gentle (Xun); 01 — Creative (Qian); 14 — Possession (Da You); 04 — Youthful Folly (Meng); 51 — Aroused (Zhen); 07 — Army (Shi),Hod (Glory); Chokmah (Wisdom); Binah (Understanding),Heh; Aleph; Bet; Zayin; Lamed; Yod,A; H; L; B; M; U,I — The Magician; XVII — The Star; 0 — The Fool; X — Wheel of Fortune; XIX — The Sun; XVI — The Tower,Ik; Ahau; Etznab; Chuen; Caban; Eb,Mercury; Aluminum; Lead; Gold; Tin; Iron,Ace of Swords; Page of Swords; Eight of Wands; Six of Swords; Knight of Swords; Page of Cups,C♯; D; F♯; C; B; A,11; 3; 1; 10; 5; 8,Respiratory system,☿ Mercury; ♅ Uranus; ♄ Saturn; ☉ Sun,Eucalyptus; Mint; Lavender; Frankincense; Dill; Oak,Octahedron; Star Tetrahedron (Merkaba); Dodecahedron; Tetrahedron; Hexahedron; Icosahedron,"Aimlessness (False starts, Disarray); Dogmatism (Fanaticism); Frivolity (False optimism, Sentimentality); Chaos (Disorder, Disarray); Pride (Arrogance, Hubris, Vanity); Delusion (Illusion, Confusion)","Clarity (Illumination, Healing, Vision); Insight (Awareness, Light in darkness); Freedom (Aspiration, Release); Joy (Celebration, Radiance); Initiation (New life, Threshold); Energy (Intensity, Creativity, Imagination)",♊ Gemini; ♒ Aquarius; ♎ Libra; ♌ Leo,SOLAR-PLEXUS-MANIPURA; THROAT-VISHUDDHA; CROWN-SAHASRARA
